"MS.Zoning","Overall.Qual","Year.Built","Year.Remod.Add","Exter.Qual","Exter.Cond","Garage.Qual","Garage.Cond","Sale.Type","Sale.Condition","SalePrice"
"RL",5,1959,1959,"TA","TA","TA","TA","WD ","Normal",136000
"RL",5,1959,1959,"TA","TA","TA","TA","WD ","Normal",165500
"RL",5,1957,1957,"TA","Gd","TA","TA","WD ","Normal",145000
"RL",6,1959,1959,"TA","TA","TA","TA","WD ","Normal",148000
"RL",5,1959,1959,"TA","TA","TA","TA","COD","Abnorml",142000
"RL",5,1960,1960,"TA","TA","TA","TA","WD ","Normal",167500
"RL",5,1959,1959,"TA","TA","TA","TA","WD ","Normal",108538
"RL",6,1959,1959,"TA","TA","TA","TA","WD ","Normal",159500
"RL",4,1956,1956,"TA","TA","TA","TA","WD ","Normal",108000
"RL",5,1952,1952,"TA","TA","TA","TA","WD ","Normal",135000
"RL",5,1955,1955,"TA","Gd","TA","TA","WD ","Normal",122500
"RL",5,1958,1958,"TA","TA","TA","TA","WD ","Abnorml",119000
"RL",5,1953,2007,"TA","Gd","TA","TA","WD ","Abnorml",109000
"RL",4,1920,1994,"TA","TA","TA","TA","WD ","Normal",105000
"RL",5,1955,2007,"TA","TA","TA","TA","WD ","Normal",107500
"RL",5,1954,2003,"TA","TA","TA","TA","WD ","Normal",144900
"RL",5,1956,2000,"TA","TA","TA","TA","WD ","Normal",129000
"RL",6,1948,1950,"TA","TA","TA","TA","WD ","Abnorml",97500
"RL",6,1980,1980,"TA","TA","TA","TA","WD ","Normal",144000
"RL",5,1959,2006,"TA","Gd","TA","TA","WD ","Normal",162000
"RL",7,1967,2007,"Gd","Gd","TA","TA","WD ","Normal",242000
"RL",6,1948,2004,"TA","TA","TA","TA","WD ","Normal",132000
"RL",5,1959,1994,"TA","TA","TA","TA","WD ","Normal",154000
"RL",5,1952,1952,"TA","Fa","TA","TA","WD ","Normal",166000
"RL",5,1951,2000,"TA","TA","TA","TA","WD ","Normal",134800
"RL",6,1962,1962,"TA","TA","TA","TA","WD ","Normal",160000
"RL",5,1960,1960,"TA","TA","TA","TA","WD ","Normal",148000
"RL",6,1963,1984,"TA","TA","TA","TA","WD ","Normal",192000
"RL",6,1966,1966,"TA","TA","TA","TA","WD ","Normal",155000
"RM",4,1900,1954,"TA","TA","TA","TA","COD","Abnorml",80400
"RM",4,1910,2004,"TA","TA",NA,NA,"WD ","Normal",96500
"RM",5,1920,1950,"TA","TA",NA,NA,"WD ","Normal",109500
"RM",5,1927,1950,"TA","TA","TA","TA","WD ","Normal",115000
"RM",5,1957,1957,"TA","TA","TA","TA","WD ","Normal",143000
"RM",3,1915,1950,"Gd","Gd","TA","TA","WD ","Normal",107400
"RM",4,1945,1950,"TA","Gd","TA","TA","WD ","Normal",80000
"RM",5,1940,1992,"TA","Gd","TA","TA","WD ","Abnorml",119000
"RM",5,1929,2001,"TA","TA","TA","TA","WD ","Normal",130000
"RM",6,1938,2000,"TA","TA","Fa","TA","WD ","Normal",119000
"RM",5,1948,2009,"TA","Gd","TA","TA","WD ","Normal",129000
"RM",5,1920,1962,"TA","TA","TA","TA","WD ","Normal",100000
"RM",2,1923,1970,"TA","Fa","Fa","Fa","WD ","Abnorml",12789
"RM",6,1928,2003,"TA","Gd","TA","TA","WD ","Normal",105900
"RM",8,1900,2003,"Gd","Gd","TA","TA","WD ","Abnorml",150000
"RM",5,1915,1950,"TA","Gd","TA","TA","WD ","Normal",139000
"RM",8,1890,2002,"Gd","Gd","TA","TA","WD ","Normal",240000
"RM",5,1910,1950,"TA","Fa",NA,NA,"WD ","Abnorml",76500
"RM",6,1957,1996,"TA","TA","TA","TA","WD ","Normal",149700
"RM",4,1910,1950,"TA","TA","TA","TA","WD ","Normal",125500
"RM",4,1885,1950,"TA","TA","TA","TA","WD ","Normal",122500
"RM",6,1922,1994,"TA","TA","TA","TA","WD ","Normal",140750
"RM",5,1950,1997,"TA","Gd","TA","TA","WD ","Normal",128500
"RL",7,1922,2005,"TA","TA","TA","TA","WD ","Normal",209500
"RM",4,1925,1950,"TA","TA","Fa","TA","WD ","Normal",87000
"RM",6,1939,1950,"TA","TA","TA","TA","WD ","Abnorml",134000
"RM",6,1940,1950,"TA","Gd","TA","TA","WD ","Normal",128000
"RM",5,1942,1950,"TA","TA","TA","TA","WD ","Normal",132000
"RM",6,1948,1950,"TA","TA","TA","TA","WD ","Normal",139900
"RM",5,1936,1980,"TA","TA","TA","TA","WD ","Normal",123900
"RM",5,1930,1950,"TA","TA","TA","TA","WD ","Normal",138400
"RM",6,1923,1950,"TA","TA","TA","TA","WD ","Normal",109500
"RM",7,1921,1950,"TA","TA","TA","TA","WD ","Normal",140000
"RM",4,1915,1950,"TA","Fa","TA","TA","WD ","Normal",149500
"RM",6,1912,2009,"Gd","Gd",NA,NA,"WD ","Normal",159900
"RM",6,1920,1993,"TA","Gd","TA","TA","WD ","Normal",122000
"RM",5,1963,1963,"Fa","TA","TA","TA","WD ","Normal",110000
"RM",4,1930,1950,"Fa","Fa",NA,NA,"WD ","Normal",55000
"RM",5,1900,1996,"TA","Gd","TA","TA","WD ","Normal",140000
"RL",7,1940,1950,"TA","Gd","TA","TA","COD","Normal",244400
"RL",5,1959,1959,"TA","TA","TA","TA","WD ","Normal",173000
"RL",5,1917,1950,"TA","TA","Fa","Fa","COD","Normal",107500
"RL",5,1915,1950,"Fa","Fa",NA,NA,"ConLD","Normal",100000
"RL",6,1940,1950,"TA","TA","TA","TA","WD ","Normal",95000
"C (all)",4,1907,1950,"TA","TA",NA,NA,"WD ","Abnorml",93369
"RH",5,1910,1950,"TA","Gd","TA","Fa","COD","Normal",114900
"RL",5,1875,1996,"TA","Gd",NA,NA,"WD ","Normal",94000
"RL",4,1967,1967,"Fa","Fa",NA,NA,"WD ","Normal",136000
"RL",4,1968,1968,"TA","TA",NA,NA,"WD ","Normal",136500
"RL",5,1965,1965,"TA","TA","TA","TA","WD ","Normal",131500
"RL",5,1957,1996,"TA","TA","TA","TA","WD ","Normal",121500
"RL",5,1967,1967,"TA","TA","TA","TA","WD ","Normal",125000
"RL",5,1968,2001,"TA","Gd","TA","TA","WD ","Normal",154000
"RL",5,1966,2008,"TA","TA","TA","TA","WD ","Normal",137900
"RL",6,1969,1969,"TA","TA","TA","TA","WD ","Normal",158000
"RL",5,1968,1968,"TA","TA","TA","TA","WD ","Normal",137250
"RL",5,1978,1978,"TA","TA","TA","TA","WD ","Normal",160250
"RL",5,1968,1968,"TA","Gd","TA","TA","WD ","Normal",163000
"RL",6,1978,1978,"TA","TA","TA","TA","WD ","Abnorml",158900
"RL",7,1996,1997,"Gd","TA","TA","TA","WD ","Normal",328000
"RL",7,1977,2001,"Gd","Gd","TA","TA","WD ","Normal",270000
"RL",4,1927,1950,"TA","TA","TA","TA","WD ","Normal",85000
"RL",4,1950,1995,"TA","TA","TA","TA","WD ","Normal",128000
"RL",7,1979,1979,"Gd","TA","TA","TA","WD ","Normal",260000
"RL",6,1978,1992,"TA","TA","TA","TA","WD ","Normal",230000
"RL",3,1938,1990,"TA","TA","TA","TA","WD ","Normal",124000
"RL",5,1920,1950,"TA","TA","Fa","TA","COD","Abnorml",83000
"RL",6,1950,1987,"TA","TA","TA","TA","WD ","Normal",144500
"RL",5,1956,1956,"TA","TA","TA","TA","WD ","Normal",129000
"RL",4,1947,1979,"TA","TA","Fa","TA","WD ","Normal",127000
"RL",5,1954,1998,"TA","TA","TA","TA","WD ","Normal",128000
"RL",6,2009,2009,"TA","TA","TA","TA","WD ","Normal",186000
"RL",7,2009,2010,"Gd","TA","TA","TA","Con","Partial",308030
"RL",5,1964,1964,"TA","Fa","TA","Fa","COD","Normal",114000
"RL",4,1946,2006,"TA","TA","TA","TA","WD ","Abnorml",84900
"RL",6,1985,1985,"Gd","TA","TA","TA","WD ","Normal",178000
"RL",7,1987,1987,"Gd","TA","Gd","Gd","WD ","Normal",270000
"RL",6,1993,1993,"Gd","Gd","TA","TA","WD ","Normal",218000
"RL",7,1993,1994,"Gd","TA","TA","TA","WD ","Normal",236000
"RL",6,1992,1992,"TA","TA","TA","TA","WD ","Normal",147000
"RL",8,2008,2008,"Gd","TA","TA","TA","WD ","Normal",245350
"RL",7,2006,2006,"Gd","TA","TA","TA","WD ","Normal",206000
"RL",7,2009,2009,"TA","TA","TA","TA","WD ","Normal",198900
"RL",7,2010,2010,"Gd","TA","TA","TA","WD ","Normal",187000
"RL",7,1990,1990,"TA","TA","TA","TA","WD ","Normal",320000
"RL",6,1900,1993,"TA","TA","TA","TA","WD ","Normal",138500
"RL",6,1971,1971,"TA","TA","TA","TA","WD ","Normal",155000
"RL",5,1996,1996,"TA","Gd","Gd","TA","WD ","Normal",159000
"RL",7,1997,1998,"TA","TA","TA","TA","WD ","Normal",191000
"RL",6,1998,1998,"TA","TA","TA","TA","WD ","Normal",200500
"RL",5,1977,2004,"Gd","Gd","TA","TA","WD ","Normal",150000
"RL",6,1977,1977,"TA","TA","TA","TA","WD ","Normal",161750
"RL",5,1976,1976,"TA","TA","TA","TA","WD ","Normal",128200
"RL",5,1972,1972,"TA","TA","TA","TA","WD ","Normal",127000
"RL",8,2003,2003,"Gd","TA","TA","TA","WD ","Normal",318000
"RL",8,2001,2002,"Gd","TA","TA","TA","WD ","Normal",272000
"RL",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",237000
"RL",7,1997,1997,"Gd","TA","TA","TA","WD ","Normal",240000
"RL",7,1998,1998,"TA","TA","TA","TA","WD ","Normal",224900
"RM",6,2003,2003,"Gd","TA","TA","TA","WD ","Normal",143750
"RM",6,2004,2004,"Gd","TA","TA","TA","WD ","Normal",143000
"RL",8,2003,2003,"Gd","TA","TA","TA","WD ","Normal",232000
"RL",7,2004,2005,"Gd","TA","TA","TA","WD ","Normal",213000
"RL",7,2004,2004,"Gd","TA","TA","TA","WD ","Normal",185500
"RL",3,1945,2007,"TA","Gd","TA","TA","ConLD","Normal",84900
"RL",5,1954,1954,"TA","Gd","TA","TA","Oth","Abnorml",155891
"RL",5,1965,1965,"TA","TA",NA,NA,"WD ","Normal",100000
"RL",5,1968,1968,"TA","TA","TA","TA","WD ","Normal",144000
"RL",4,1948,1950,"TA","TA","TA","Fa","WD ","Abnorml",64000
"RL",6,1975,1975,"TA","TA","TA","TA","WD ","Normal",125200
"RL",6,1976,1976,"TA","TA","TA","TA","WD ","Abnorml",107000
"RL",4,1958,1958,"TA","TA",NA,NA,"WD ","Normal",90000
"RM",4,2003,2004,"TA","TA","TA","TA","WD ","Normal",140000
"RL",6,1945,1950,"TA","TA","TA","TA","WD ","Normal",113000
"RL",4,1941,1950,"TA","Fa","TA","TA","WD ","Normal",80000
"RL",5,1957,2002,"TA","TA","TA","TA","WD ","Normal",144500
"RL",5,1924,1999,"TA","TA","TA","TA","WD ","Normal",104000
"RL",6,1915,1950,"TA","TA","TA","TA","WD ","Normal",128000
"RL",3,1914,1950,"TA","Fa","TA","Fa","WD ","Normal",58500
"RL",5,1924,1950,"TA","TA","TA","TA","WD ","Normal",127000
"RL",6,1939,1950,"TA","TA","TA","TA","WD ","Normal",126000
"RH",4,1967,1967,"TA","TA",NA,NA,"WD ","Normal",160000
"RL",5,1931,1950,"TA","TA",NA,NA,"WD ","Normal",100000
"RL",6,1919,1990,"TA","TA","TA","TA","WD ","Normal",169000
"RL",7,1941,1985,"Gd","Gd","TA","TA","WD ","Normal",257500
"RL",5,1950,1991,"TA","Gd","TA","TA","WD ","Normal",215000
"RL",7,1941,2006,"Ex","Gd","TA","TA","WD ","Normal",266500
"RL",7,1959,2002,"Gd","Gd","TA","TA","WD ","Normal",335000
"RL",7,1994,2007,"TA","TA","TA","TA","WD ","Normal",203135
"RM",8,1989,1989,"Gd","TA","TA","TA","WD ","Normal",185000
"RM",8,1989,1989,"Gd","TA","TA","TA","WD ","Normal",162500
"RL",7,1959,1997,"TA","TA","TA","TA","WD ","Normal",289000
"RM",4,1922,2007,"TA","Gd","TA","TA","WD ","Normal",125500
"RM",2,1941,1950,"TA","TA","Fa","Fa","ConLw","Normal",82000
"RM",6,1921,1975,"TA","TA","TA","TA","COD","Normal",110000
"C (all)",4,1920,1950,"TA","Gd","TA","TA","COD","Abnorml",68400
"C (all)",4,1900,1950,"TA","TA","TA","TA","WD ","Abnorml",102776
"C (all)",5,1952,1952,"Fa","TA","TA","TA","WD ","Alloca",55993
"C (all)",4,1896,1950,"Fa","Fa","TA","TA","WD ","Alloca",50138
"RM",8,2004,2005,"Gd","TA","TA","TA","WD ","Normal",246000
"RL",8,1998,1999,"Gd","TA","TA","TA","WD ","Normal",254900
"RL",6,1977,1977,"TA","TA","TA","TA","WD ","Normal",190000
"RL",7,2003,2003,"Gd","TA","TA","TA","WD ","Normal",201000
"RL",6,1976,1976,"TA","TA","TA","TA","WD ","Normal",169900
"RL",6,1976,1976,"TA","TA","TA","TA","ConLD","Normal",170000
"RL",5,1948,1950,"TA","TA","TA","TA","WD ","Normal",160000
"RL",7,2008,2008,"Gd","TA","TA","TA","WD ","Normal",220000
"RL",7,2009,2010,"Gd","TA","TA","TA","New","Partial",179781
"RL",5,2006,2007,"TA","TA","TA","TA","WD ","Normal",174000
"RL",8,2009,2010,"Gd","TA","TA","TA","New","Partial",269500
"RL",7,2002,2003,"Gd","TA","TA","TA","WD ","Normal",214900
"RL",8,2002,2002,"Gd","TA","TA","TA","WD ","Normal",202900
"RL",9,2008,2009,"Ex","TA","TA","TA","WD ","Normal",378500
"RL",5,1965,1977,"TA","TA","TA","TA","WD ","Normal",169000
"RL",5,2004,2005,"TA","TA","TA","TA","WD ","Normal",173500
"RL",6,1971,1971,"TA","TA",NA,NA,"WD ","Normal",139000
"RL",5,1999,1999,"TA","TA","TA","TA","WD ","Normal",166500
"RM",4,1973,1973,"TA","TA","TA","TA","WD ","Normal",83500
"RM",5,1973,1973,"TA","TA","TA","TA","WD ","Normal",119500
"RM",5,1976,1976,"TA","TA","TA","TA","WD ","Normal",85000
"RM",4,1970,1970,"TA","TA",NA,NA,"WD ","Normal",76000
"RM",4,1972,1972,"TA","TA",NA,NA,"WD ","Normal",75500
"RM",4,1970,1970,"TA","TA",NA,NA,"WD ","Normal",88250
"RM",4,1972,1972,"TA","TA","TA","TA","WD ","Normal",85500
"RL",5,1971,2004,"TA","Gd","TA","TA","ConLD","Normal",130000
"RL",5,1962,1962,"TA","TA","TA","TA","WD ","Normal",157900
"RL",5,1984,1984,"TA","TA","TA","TA","WD ","Normal",149900
"RL",5,1985,1986,"TA","Po","TA","Fa","WD ","Normal",159000
"RL",5,1991,1991,"TA","TA","TA","TA","WD ","Normal",136000
"RL",5,1969,1969,"TA","TA","TA","TA","WD ","Normal",161000
"RL",8,1994,1995,"Gd","Gd","TA","TA","WD ","Normal",285000
"RL",6,1993,1994,"Gd","Gd","TA","TA","WD ","Normal",231000
"RL",6,1956,1956,"TA","TA","TA","TA","WD ","Normal",124500
"RL",6,1974,1974,"TA","TA","TA","TA","WD ","Normal",157000
"RL",8,1972,1995,"Gd","TA","TA","TA","WD ","Normal",345000
"RL",6,1997,1997,"TA","TA","TA","TA","WD ","Normal",189500
"RL",8,2003,2003,"Gd","TA","TA","TA","WD ","Normal",270000
"RL",7,1996,1997,"TA","TA","TA","TA","WD ","Normal",189000
"RL",9,2006,2007,"Ex","TA","TA","TA","WD ","Normal",377500
"RL",7,1995,1996,"TA","TA","TA","TA","WD ","Normal",168500
"RL",8,2004,2005,"Gd","TA","TA","TA","WD ","Normal",375000
"RL",8,2000,2000,"Gd","TA","TA","TA","WD ","Normal",278000
"RL",8,1998,1998,"TA","TA","TA","TA","WD ","Normal",240000
"RL",8,1995,1996,"Gd","TA","TA","TA","WD ","Normal",239500
"RL",7,1998,1998,"Gd","TA","TA","TA","WD ","Normal",177500
"RL",7,1998,1998,"TA","TA","TA","TA","WD ","Normal",185000
"RL",6,1998,1999,"Gd","TA","TA","TA","WD ","Normal",191000
"RL",6,1993,1994,"Gd","TA","TA","TA","WD ","Normal",178000
"RL",6,1993,1993,"Ex","Gd","TA","TA","WD ","Normal",185000
"RL",6,1994,1995,"TA","TA","TA","TA","WD ","Normal",181316
"RL",6,1993,1993,"TA","TA","TA","TA","WD ","Normal",166000
"RL",6,1992,1993,"TA","TA","TA","TA","WD ","Normal",178000
"RL",6,1994,1995,"TA","TA","TA","TA","WD ","Normal",174000
"RL",6,1992,1992,"TA","TA","TA","TA","WD ","Normal",173000
"RL",7,1999,1999,"Gd","TA","TA","TA","WD ","Normal",225000
"RL",7,1990,1990,"TA","TA","TA","TA","WD ","Normal",180500
"RL",8,1984,1984,"Gd","TA","TA","TA","COD","Abnorml",187500
"RL",9,2008,2009,"Ex","TA","TA","TA","New","Partial",501837
"RL",8,2008,2008,"Gd","TA","TA","TA","New","Partial",372500
"RL",7,2005,2005,"Gd","TA","TA","TA","WD ","Normal",260000
"RL",5,1977,1977,"TA","TA","TA","TA","WD ","Normal",185000
"RL",7,1980,1980,"Gd","TA","TA","TA","WD ","Normal",260000
"RL",6,1979,1998,"TA","Gd","TA","TA","WD ","Normal",181000
"RL",7,1977,1977,"TA","Gd","TA","TA","WD ","Family",82500
"RL",6,1977,2000,"Gd","TA","TA","TA","WD ","Normal",215000
"RL",7,1978,1978,"TA","TA","TA","TA","WD ","Abnorml",154000
"RL",6,1978,1986,"TA","TA","TA","TA","WD ","Normal",200000
